Sample: OLID 10
Temperature: 1000 C
Time: 360 hrs
log[fO2 (bars)] = -11.97

Distance (microns)  X_Mn    X_Mg		X_Fe
201.3336	2.07E-03	0.8395113	0.1584176
202.3402	1.79E-03	0.8413272	0.156882
203.3469	1.86E-03	0.8410782	0.1570616
204.3536	1.79E-03	0.8354945	0.1627182
205.3602	2.10E-03	0.8380982	0.1597996
206.3669	2.84E-03	0.8388003	0.158355
207.3736	2.66E-03	0.8398206	0.1575167
208.3802	2.07E-03	0.8404863	0.1574467
209.3869	1.93E-03	0.841374	0.1566963
210.3936	2.28E-03	0.837347	0.1603744
211.4002	1.51E-03	0.8307137	0.167781
212.4069	1.44E-03	0.8373278	0.1612314
213.4136	2.43E-03	0.8420163	0.1555532
214.4202	2.58E-03	0.8448051	0.1526195
215.4269	3.09E-03	0.8451357	0.1517747
216.4336	2.46E-03	0.839886	0.1576502
217.4402	2.39E-03	0.8407964	0.1568117
218.4469	2.36E-03	0.8411337	0.1565015
219.4536	1.66E-03	0.8399309	0.1584137
220.4603	2.01E-03	0.8384949	0.1594969
221.4669	1.72E-03	0.8432531	0.1550232
222.4736	3.09E-03	0.8378265	0.1590885
223.4803	2.21E-03	0.8395942	0.1581941
224.4869	1.51E-03	0.838106	0.1603813
225.4936	2.25E-03	0.8398031	0.1579466
226.5003	1.30E-03	0.8406149	0.1580836
227.5069	2.04E-03	0.8356801	0.1622782
228.5136	1.79E-03	0.8366529	0.1615555
229.5203	2.08E-03	0.8365737	0.1613483
230.5269	1.55E-03	0.8383458	0.1601082
231.5336	1.26E-03	0.8381829	0.1605582
232.5403	1.41E-03	0.8385549	0.1600339
233.5469	2.36E-03	0.8413575	0.1562863
234.5536	2.18E-03	0.8371881	0.1606327
235.5603	2.60E-03	0.8366022	0.1608014
236.5669	1.16E-03	0.8374797	0.1613606
237.5736	2.64E-03	0.8387823	0.1585782
238.5803	2.29E-03	0.8372207	0.160489
239.5869	2.77E-03	0.8414788	0.1557475
240.5936	2.07E-03	0.8403249	0.1576005
241.6003	2.25E-03	0.8383885	0.1593596
242.6069	2.18E-03	0.8372101	0.1606114
243.6136	2.28E-03	0.8414433	0.1562796
244.6203	2.07E-03	0.838534	0.1593928
245.627	1.69E-03	0.8437709	0.1545394
246.6336	2.11E-03	0.8410684	0.1568171
247.6403	2.31E-03	0.8352033	0.1624825
248.647	2.78E-03	0.8415977	0.155622
249.6536	1.86E-03	0.8444164	0.1537247
250.6603	1.05E-03	0.8499702	0.1489765
251.667	1.55E-03	0.8646502	0.1338041
252.6736	2.22E-03	0.8786545	0.1191265
253.6803	9.49E-04	0.9011985	9.79E-02
254.687	1.09E-03	0.9290887	6.98E-02
255.6936	2.82E-04	0.9490821	5.06E-02
256.7003	2.82E-04	0.9638006	3.59E-02
257.7069	1.76E-04	0.9805501	1.93E-02
258.7136	3.51E-05	0.9903407	9.62E-03
259.7202	0.00E+00	0.9959032	4.10E-03
260.7269	6.31E-04	0.9963877	2.98E-03
261.7336	7.02E-05	0.9974025	2.53E-03
262.7402	0.00E+00	0.9977858	2.21E-03
263.7469	1.76E-04	0.9978176	2.01E-03
264.7535	3.51E-05	0.997789	2.18E-03
265.7602	2.11E-04	0.9982733	1.52E-03
266.7668	0.00E+00	0.9976863	2.31E-03
267.7735	0.00E+00	0.997862	2.14E-03
268.7801	1.39E-04	0.9970832	2.78E-03
269.7868	5.99E-04	0.9971477	2.25E-03
270.7934	0.00E+00	0.9984151	1.58E-03
271.8001	0.00E+00	0.9983466	1.65E-03
272.8067	1.41E-04	0.9986984	1.16E-03
273.8134	1.41E-04	0.9987645	1.09E-03
274.82	0.00E+00	0.998271	1.73E-03
275.8267	7.05E-05	0.9989774	9.52E-04
276.8333	2.12E-04	0.9977084	2.08E-03
277.84	5.63E-04	0.9981002	1.34E-03
278.8466	3.53E-04	0.9984804	1.17E-03
279.8533	0.00E+00	0.9982725	1.73E-03
280.86	3.52E-05	0.998697	1.27E-03
281.8666	0.00E+00	0.9988751	1.12E-03
282.8733	0.00E+00	0.998875	1.12E-03
283.8799	1.41E-04	0.9984893	1.37E-03
284.8866	0.00E+00	0.9992241	7.76E-04
285.8932	0.00E+00	0.9987354	1.26E-03
286.8999	1.06E-04	0.9984849	1.41E-03
287.9065	1.76E-04	0.9981002	1.72E-03
288.9132	0.00E+00	0.9990141	9.86E-04
289.9198	0.00E+00	0.9992269	7.73E-04
290.9265	0.00E+00	0.9986639	1.34E-03
291.9331	0.00E+00	0.9991194	8.81E-04
292.9398	0.00E+00	0.9995084	4.92E-04
293.9464	1.41E-04	0.9993296	5.29E-04
294.9531	1.76E-04	0.9990144	8.10E-04
295.9597	1.05E-04	0.9987018	1.19E-03
296.9664	0.00E+00	0.9995411	4.59E-04
297.9731	0.00E+00	0.998524	1.48E-03
298.9797	2.82E-04	0.9988369	8.81E-04
299.9864	4.58E-04	0.9990495	4.93E-04
300.993	0.00E+00	0.9994372	5.63E-04
