Sample: OLID 202
Temperature: 1300 C
Time: 52.4 hrs
log[fO2 (bars)] = -12.04

Distance (microns)  X_Mg		X_Fe
0.00E+00	1	0.00E+00
1.005319	0.9997544	2.46E-04
2.010638	0.9998946	1.05E-04
3.015957	0.9992993	7.01E-04
4.021276	0.9994742	5.26E-04
5.026596	0.9996492	3.51E-04
6.031915	0.999509	4.91E-04
7.037234	1	0.00E+00
8.042553	0.9991572	8.43E-04
9.047873	0.9998946	1.05E-04
10.05319	0.999545	4.55E-04
11.05851	0.9992301	7.70E-04
12.06383	0.9997542	2.46E-04
13.06915	0.9990525	9.47E-04
14.07447	0.9991226	8.77E-04
15.07979	0.9997897	2.10E-04
16.08511	0.9992275	7.73E-04
17.09043	0.999158	8.42E-04
18.09575	0.9994743	5.26E-04
19.10107	1	0.00E+00
20.10639	0.998984	1.02E-03
21.11171	0.9996139	3.86E-04
22.11703	0.9992288	7.71E-04
23.12235	0.9992624	7.38E-04
24.12767	0.9988797	1.12E-03
25.13299	0.9990545	9.45E-04
26.13831	0.9995434	4.57E-04
27.14363	0.9991572	8.43E-04
28.14894	0.9998944	1.06E-04
29.15426	0.9990872	9.13E-04
30.15958	0.9994033	5.97E-04
31.1649	0.9995438	4.56E-04
32.17022	0.9993345	6.66E-04
33.17554	0.9995792	4.21E-04
34.18086	0.9994745	5.25E-04
35.18618	0.9994393	5.61E-04
36.19149	0.9990187	9.81E-04
37.19681	0.9988778	1.12E-03
38.20213	0.9991596	8.40E-04
39.20745	0.998669	1.33E-03
40.21276	0.9985257	1.47E-03
41.21808	0.9994039	5.96E-04
42.2234	0.9991201	8.80E-04
43.22872	0.9981858	1.81E-03
44.23404	0.9986478	1.35E-03
45.23935	0.9985213	1.48E-03
46.24467	0.9983147	1.69E-03
47.24999	0.9987386	1.26E-03
48.25531	0.9983057	1.69E-03
49.26062	0.9987847	1.22E-03
50.26594	0.998215	1.78E-03
51.27126	0.9990886	9.11E-04
52.27658	0.9988094	1.19E-03
53.28189	0.998674	1.33E-03
54.28721	0.9985989	1.40E-03
55.29253	0.9991909	8.09E-04
56.29785	0.9995449	4.55E-04
57.30317	0.9977901	2.21E-03
58.30848	0.998635	1.37E-03
59.3138	0.9985283	1.47E-03
60.31912	0.9982439	1.76E-03
61.32444	0.9987037	1.30E-03
62.32975	0.9979322	2.07E-03
63.33507	0.9975461	2.45E-03
64.34039	0.9968151	3.18E-03
65.34571	0.9970888	2.91E-03
66.35103	0.9967449	3.26E-03
67.35635	0.9963266	3.67E-03
68.36166	0.9954361	4.56E-03
69.36698	0.9934402	6.56E-03
70.3723	0.9914572	8.54E-03
71.37762	0.9893232	1.07E-02
72.38293	0.9872309	1.28E-02
73.38825	0.983718	1.63E-02
74.39357	0.9781451	2.19E-02
75.39889	0.9716024	2.84E-02
76.40421	0.9650946	3.49E-02
77.40952	0.9566717	4.33E-02
78.41484	0.9512743	4.87E-02
79.42016	0.9412733	5.87E-02
80.42548	0.9347963	6.52E-02
81.43079	0.9276199	7.24E-02
82.43611	0.9211339	7.89E-02
83.44143	0.9156978	8.43E-02
84.44675	0.9049727	9.50E-02
85.45206	0.893836	0.106164
86.45738	0.8952755	0.1047245
87.4627	0.8865169	0.1134832
88.46802	0.8773357	0.1226642
89.47334	0.8715343	0.1284657
90.47865	0.8666105	0.1333895
91.48397	0.861038	0.138962
92.48929	0.8590388	0.1409613
93.49461	0.8540437	0.1459563
94.49992	0.8490704	0.1509295
95.50524	0.8444732	0.1555268
96.51056	0.8441563	0.1558437
97.51588	0.8436218	0.1563782
98.52119	0.8445886	0.1554113
99.52651	0.841231	0.158769
100.5318	0.8387469	0.1612531
101.5371	0.841664	0.158336
102.5425	0.8390736	0.1609264
103.5478	0.8400421	0.1599579
104.5531	0.8388599	0.1611401
105.5584	0.8388793	0.1611207
106.5637	0.8369573	0.1630427
107.5691	0.838713	0.1612869
108.5744	0.840202	0.159798
109.5797	0.8363025	0.1636975
110.585	0.8374698	0.1625302
111.5903	0.8372915	0.1627084
112.5956	0.8377915	0.1622085
113.601	0.8399185	0.1600815
114.6063	0.8374234	0.1625766
115.6116	0.8392707	0.1607292
116.6169	0.841478	0.1585221
117.6222	0.8387831	0.1612169
118.6275	0.8383877	0.1616123
119.6329	0.8366143	0.1633857
120.6382	0.8380595	0.1619405
121.6435	0.8376689	0.1623311
122.6488	0.8384108	0.1615892
123.6541	0.8380969	0.1619031
124.6595	0.8383693	0.1616307
125.6648	0.8395896	0.1604104
126.6701	0.8377063	0.1622938
127.6754	0.8407531	0.1592468
128.6807	0.8372858	0.1627142
129.6861	0.8390852	0.1609147
130.6914	0.8381062	0.1618938
131.6967	0.8406298	0.1593702
132.702	0.8376235	0.1623764
133.7074	0.8383349	0.1616652
134.7127	0.8391352	0.1608648
135.718	0.8395802	0.1604198
136.7233	0.8402365	0.1597635
137.7287	0.8386623	0.1613377
