Sample: OLID 8
Temperature: 1100 C
Time: 164 hrs
log[fO2 (bars)] = -12.02

Distance (microns)  X_Mn    X_Mg		X_Fe
0	0.002	0.842	0.156
1	0.002	0.841	0.157
2	0.002	0.844	0.154
3	0.001	0.844	0.155
4	0.002	0.840	0.158
5	0.002	0.842	0.157
6	0.002	0.842	0.156
7	0.002	0.840	0.158
8	0.001	0.843	0.156
9	0.002	0.844	0.154
10	0.002	0.842	0.157
11	0.002	0.844	0.154
12	0.002	0.844	0.154
13	0.002	0.843	0.154
14	0.002	0.845	0.153
15	0.002	0.845	0.153
16	0.002	0.845	0.153
17	0.003	0.849	0.149
18	0.002	0.853	0.146
19	0.002	0.856	0.142
20	0.002	0.868	0.131
21	0.002	0.881	0.117
22	0.004	0.893	0.103
23	0.002	0.929	0.070
24	0.000	0.956	0.044
25	0.000	0.971	0.029
26	0.000	0.989	0.011
27	0.000	0.993	0.007
28	0.000	0.996	0.004
29	0.000	0.997	0.003
30	0.000	0.998	0.002
31	0.001	0.997	0.002
32	0.000	0.998	0.002
33	0.000	0.998	0.002
34	0.000	0.998	0.002
35	0.000	0.998	0.002
36	0.000	0.998	0.002
37	0.000	0.998	0.002
38	0.001	0.998	0.002
39	0.001	0.998	0.001
40	0.000	0.999	0.001
41	0.000	0.998	0.002
42	0.000	0.999	0.001
43	0.000	0.998	0.002
44	0.000	0.998	0.002
45	0.000	0.999	0.001
46	0.000	0.998	0.002
47	0.000	0.999	0.001
48	0.000	0.999	0.001
49	0.000	0.999	0.001
